year,version,outcome,probability_bin,sample_count,avg_predicted_prob,actual_rate
2010,V5_elo_true_home_close_match,home_win,"(-0.001, 0.1]",3,0.06624114991287004,0.3333333333333333
2010,V5_elo_true_home_close_match,home_win,"(0.1, 0.2]",5,0.14710397816823143,0.8
2010,V5_elo_true_home_close_match,home_win,"(0.2, 0.3]",11,0.2596268000757582,0.36363636363636365
2010,V5_elo_true_home_close_match,home_win,"(0.3, 0.4]",9,0.348918036974325,0.8888888888888888
2010,V5_elo_true_home_close_match,home_win,"(0.4, 0.5]",8,0.4383570961665849,0.75
2010,V5_elo_true_home_close_match,home_win,"(0.5, 0.6]",11,0.562636615666941,0.7272727272727273
2010,V5_elo_true_home_close_match,home_win,"(0.6, 0.7]",11,0.6377732122752303,1.0
2010,V5_elo_true_home_close_match,home_win,"(0.7, 0.8]",3,0.7505628606028077,1.0
2010,V5_elo_true_home_close_match,home_win,"(0.8, 0.9]",3,0.8307150960139519,0.6666666666666666
2010,V5_elo_true_home_close_match,draw,"(-0.001, 0.1]",1,0.0889235553779117,1.0
2010,V5_elo_true_home_close_match,draw,"(0.1, 0.2]",8,0.15286612144272263,0.25
2010,V5_elo_true_home_close_match,draw,"(0.2, 0.3]",43,0.2610171029123871,0.27906976744186046
2010,V5_elo_true_home_close_match,draw,"(0.3, 0.4]",12,0.3112103082441165,0.08333333333333333
2010,V5_elo_true_home_close_match,away_win,"(-0.001, 0.1]",6,0.06304612839256314,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.1, 0.2]",21,0.1519054452415745,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.2, 0.3]",8,0.2474612069354375,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.3, 0.4]",10,0.336987895398638,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.4, 0.5]",9,0.4406089408385548,0.1111111111111111
2010,V5_elo_true_home_close_match,away_win,"(0.5, 0.6]",4,0.5287926447643452,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.6, 0.7]",3,0.6594883228502167,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.7, 0.8]",2,0.7426428221058949,0.0
2010,V5_elo_true_home_close_match,away_win,"(0.8, 0.9]",1,0.8820277389242499,0.0
2014,V1_elo_only,home_win,"(0.1, 0.2]",6,0.1650392411342574,0.5
2014,V1_elo_only,home_win,"(0.2, 0.3]",5,0.26753947929053956,0.6
2014,V1_elo_only,home_win,"(0.3, 0.4]",14,0.35885786658225777,0.7857142857142857
2014,V1_elo_only,home_win,"(0.4, 0.5]",9,0.4428523458640125,0.6666666666666666
2014,V1_elo_only,home_win,"(0.5, 0.6]",19,0.5408286506567611,0.8947368421052632
2014,V1_elo_only,home_win,"(0.6, 0.7]",7,0.6473055365795373,0.8571428571428571
2014,V1_elo_only,home_win,"(0.7, 0.8]",4,0.7511718351203963,0.75
2014,V1_elo_only,draw,"(0.1, 0.2]",2,0.1651367348160353,0.0
2014,V1_elo_only,draw,"(0.2, 0.3]",52,0.27089599611823423,0.23076923076923078
2014,V1_elo_only,draw,"(0.3, 0.4]",10,0.30781538151103904,0.1
2014,V1_elo_only,away_win,"(-0.001, 0.1]",5,0.06720332816821127,0.0
2014,V1_elo_only,away_win,"(0.1, 0.2]",17,0.15245614580860609,0.0
2014,V1_elo_only,away_win,"(0.2, 0.3]",18,0.24071063273976512,0.1111111111111111
2014,V1_elo_only,away_win,"(0.3, 0.4]",13,0.3424618188766614,0.0
2014,V1_elo_only,away_win,"(0.4, 0.5]",5,0.4414134387495148,0.0
2014,V1_elo_only,away_win,"(0.5, 0.6]",4,0.5475449923472471,0.0
2014,V1_elo_only,away_win,"(0.6, 0.7]",2,0.6229915262351489,0.0
2014,V2_elo_recent_form,home_win,"(0.1, 0.2]",6,0.16017892756651078,0.5
2014,V2_elo_recent_form,home_win,"(0.2, 0.3]",3,0.24239252973457504,0.3333333333333333
2014,V2_elo_recent_form,home_win,"(0.3, 0.4]",16,0.35442730961989644,0.8125
2014,V2_elo_recent_form,home_win,"(0.4, 0.5]",11,0.4473691340774547,0.7272727272727273
2014,V2_elo_recent_form,home_win,"(0.5, 0.6]",17,0.5574992892995733,0.8823529411764706
2014,V2_elo_recent_form,home_win,"(0.6, 0.7]",6,0.6536408568758522,1.0
2014,V2_elo_recent_form,home_win,"(0.7, 0.8]",5,0.7577209412925716,0.6
2014,V2_elo_recent_form,draw,"(0.1, 0.2]",4,0.17328289989768714,0.25
2014,V2_elo_recent_form,draw,"(0.2, 0.3]",42,0.2665412947115978,0.23809523809523808
2014,V2_elo_recent_form,draw,"(0.3, 0.4]",18,0.31186145479466254,0.1111111111111111
2014,V2_elo_recent_form,away_win,"(-0.001, 0.1]",6,0.0670873159371498,0.0
2014,V2_elo_recent_form,away_win,"(0.1, 0.2]",21,0.1575596169262306,0.0
2014,V2_elo_recent_form,away_win,"(0.2, 0.3]",15,0.2584903997418018,0.13333333333333333
2014,V2_elo_recent_form,away_win,"(0.3, 0.4]",12,0.34552298856350605,0.0
2014,V2_elo_recent_form,away_win,"(0.4, 0.5]",4,0.4496768002910196,0.0
2014,V2_elo_recent_form,away_win,"(0.5, 0.6]",5,0.5709181181327472,0.0
2014,V2_elo_recent_form,away_win,"(0.6, 0.7]",1,0.6423359852437098,0.0
2014,V3_elo_recent_form_h2h,home_win,"(0.1, 0.2]",6,0.16077129580013302,0.5
2014,V3_elo_recent_form_h2h,home_win,"(0.2, 0.3]",4,0.25306875419103736,0.5
2014,V3_elo_recent_form_h2h,home_win,"(0.3, 0.4]",16,0.35952473489480086,0.75
2014,V3_elo_recent_form_h2h,home_win,"(0.4, 0.5]",10,0.4588387075653741,0.8
2014,V3_elo_recent_form_h2h,home_win,"(0.5, 0.6]",14,0.5470462220804708,0.9285714285714286
2014,V3_elo_recent_form_h2h,home_win,"(0.6, 0.7]",10,0.6455243652734793,0.8
2014,V3_elo_recent_form_h2h,home_win,"(0.7, 0.8]",4,0.777080981241837,0.75
2014,V3_elo_recent_form_h2h,draw,"(0.1, 0.2]",4,0.16500812333391351,0.25
2014,V3_elo_recent_form_h2h,draw,"(0.2, 0.3]",45,0.261713109736158,0.2222222222222222
2014,V3_elo_recent_form_h2h,draw,"(0.3, 0.4]",15,0.31219655275447056,0.13333333333333333
