match_id,date,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_result_type,actual_first_goalscorer,actual_total_corners,actual_first_half_corners,actual_second_half_corners,source,last_updated
wc2026_r032,2026-06-14,Sweden,Tunisia,scheduled,,,,,,,,,
wc2026_r033,2026-06-20,Netherlands,Sweden,scheduled,,,,,,,,,
wc2026_r034,2026-06-20,Tunisia,Japan,scheduled,,,,,,,,,
wc2026_r035,2026-06-25,Japan,Sweden,scheduled,,,,,,,,,
wc2026_r036,2026-06-25,Tunisia,Netherlands,scheduled,,,,,,,,,
wc2026_r037,2026-06-15,Belgium,Egypt,scheduled,,,,,,,,,
wc2026_r038,2026-06-15,Iran,New Zealand,scheduled,,,,,,,,,
wc2026_r039,2026-06-21,Belgium,Iran,scheduled,,,,,,,,,
wc2026_r040,2026-06-21,New Zealand,Egypt,scheduled,,,,,,,,,
wc2026_r041,2026-06-26,Egypt,Iran,scheduled,,,,,,,,,
wc2026_r042,2026-06-26,New Zealand,Belgium,scheduled,,,,,,,,,
wc2026_r043,2026-06-15,Spain,Cape Verde,scheduled,,,,,,,,,
wc2026_r044,2026-06-15,Saudi Arabia,Uruguay,scheduled,,,,,,,,,
wc2026_r045,2026-06-21,Spain,Saudi Arabia,scheduled,,,,,,,,,
wc2026_r046,2026-06-21,Uruguay,Cape Verde,scheduled,,,,,,,,,
wc2026_r047,2026-06-26,Cape Verde,Saudi Arabia,scheduled,,,,,,,,,
wc2026_r048,2026-06-26,Uruguay,Spain,scheduled,,,,,,,,,
wc2026_r049,2026-06-16,France,Senegal,scheduled,,,,,,,,,
wc2026_r050,2026-06-16,Iraq,Norway,scheduled,,,,,,,,,
wc2026_r051,2026-06-22,France,Iraq,scheduled,,,,,,,,,
wc2026_r052,2026-06-22,Norway,Senegal,scheduled,,,,,,,,,
wc2026_r053,2026-06-26,Norway,France,scheduled,,,,,,,,,
wc2026_r054,2026-06-26,Senegal,Iraq,scheduled,,,,,,,,,
wc2026_r055,2026-06-16,Argentina,Algeria,scheduled,,,,,,,,,
wc2026_r056,2026-06-16,Austria,Jordan,scheduled,,,,,,,,,
wc2026_r057,2026-06-22,Argentina,Austria,scheduled,,,,,,,,,
wc2026_r058,2026-06-22,Jordan,Algeria,scheduled,,,,,,,,,
wc2026_r059,2026-06-27,Algeria,Austria,scheduled,,,,,,,,,
wc2026_r060,2026-06-27,Jordan,Argentina,scheduled,,,,,,,,,
wc2026_r061,2026-06-17,Portugal,Democratic Republic of Congo,scheduled,,,,,,,,,
wc2026_r062,2026-06-17,Uzbekistan,Colombia,scheduled,,,,,,,,,
wc2026_r063,2026-06-23,Portugal,Uzbekistan,scheduled,,,,,,,,,
wc2026_r064,2026-06-23,Colombia,Democratic Republic of Congo,scheduled,,,,,,,,,
wc2026_r065,2026-06-27,Colombia,Portugal,scheduled,,,,,,,,,
wc2026_r066,2026-06-27,Democratic Republic of Congo,Uzbekistan,scheduled,,,,,,,,,
wc2026_r067,2026-06-17,England,Croatia,scheduled,,,,,,,,,
wc2026_r068,2026-06-17,Ghana,Panama,scheduled,,,,,,,,,
wc2026_r069,2026-06-23,England,Ghana,scheduled,,,,,,,,,
wc2026_r070,2026-06-23,Panama,Croatia,scheduled,,,,,,,,,
wc2026_r071,2026-06-27,Panama,England,scheduled,,,,,,,,,
wc2026_r072,2026-06-27,Croatia,Ghana,scheduled,,,,,,,,,
wc2026_m073,2026-06-28,2A,2B,scheduled,,,,,,,,,
wc2026_m074,2026-06-29,1E,3A/B/C/D/F,scheduled,,,,,,,,,
wc2026_m075,2026-06-29,1F,2C,scheduled,,,,,,,,,
wc2026_m076,2026-06-29,1C,2F,scheduled,,,,,,,,,
wc2026_m077,2026-06-30,1I,3C/D/F/G/H,scheduled,,,,,,,,,
wc2026_m078,2026-06-30,2E,2I,scheduled,,,,,,,,,
wc2026_m079,2026-06-30,1A,3C/E/F/H/I,scheduled,,,,,,,,,
wc2026_m080,2026-07-01,1L,3E/H/I/J/K,scheduled,,,,,,,,,
wc2026_m081,2026-07-01,1D,3B/E/F/I/J,scheduled,,,,,,,,,
