year,match,actual_result,home_prob,draw_prob,away_prob,true_class_prob,log_loss,model_prediction
2014,Costa Rica vs Uruguay,home_win,0.31841751826619885,0.35282483398006087,0.32875764775374033,0.31841751826619885,1.1443918068451635,draw
2010,Japan vs Paraguay,draw,0.4157034808952444,0.31988369724765175,0.26441282185710396,0.31988369724765175,1.1397977953519947,home_win
2010,Serbia vs Germany,home_win,0.32154344341952107,0.3218232368091751,0.3566333197713039,0.32154344341952107,1.1346226171564382,away_win
2014,Ecuador vs France,draw,0.4314446498971408,0.3252159530894584,0.24333939701340077,0.3252159530894584,1.1232658462710525,home_win
2010,Ivory Coast vs Portugal,draw,0.4260439750977307,0.32528469541035415,0.24867132949191512,0.32528469541035415,1.1230544942261003,home_win
2010,Ghana vs Uruguay,draw,0.40529571892980615,0.32799514868779645,0.26670913238239746,0.32799514868779645,1.1147564612933616,home_win
2014,Costa Rica vs Italy,home_win,0.33024549887263244,0.34963140168076656,0.32012309944660106,0.33024549887263244,1.1079189651271415,draw
2010,South Africa vs Uruguay,away_win,0.34800192883329367,0.3192376538415843,0.33276041732512196,0.33276041732512196,1.1003325154347627,home_win
2014,Chile vs Spain,home_win,0.33293623333316685,0.37001297704199826,0.2970507896248349,0.33293623333316685,1.0998042988305214,draw
2018,Japan vs Senegal,draw,0.4717237654698464,0.33360839216746824,0.19466784236268542,0.33360839216746824,1.0977874524366589,home_win
2018,Russia vs Croatia,draw,0.36714357465247516,0.3347558551846366,0.2981005701628882,0.3347558551846366,1.094353803347584,home_win
2018,Colombia vs England,draw,0.513364752210161,0.33564696996686694,0.150988277822972,0.33564696996686694,1.0916953559973757,home_win
2022,Germany vs Spain,draw,0.45399004209707094,0.3366301410727154,0.2093798168302137,0.3366301410727154,1.0887704555638311,home_win
2022,Cameroon vs Serbia,draw,0.3502832754091909,0.33731409616504443,0.3124026284257646,0.33731409616504443,1.0867407466076693,home_win
2018,Portugal vs Spain,draw,0.46956284714268676,0.3375147670864064,0.1929223857709069,0.3375147670864064,1.0861460152966524,home_win
2018,Croatia vs Denmark,draw,0.5282272982870664,0.33808790696687663,0.13368479474605693,0.33808790696687663,1.0844493375303437,home_win
2022,Morocco vs Spain,draw,0.25957680390182375,0.3385942729821909,0.40182892311598517,0.3385942729821909,1.0829527232412903,away_win
2014,Costa Rica vs Netherlands,draw,0.24777742223304747,0.34141580759651075,0.4108067701704419,0.34141580759651075,1.0746541674192245,away_win
2018,Costa Rica vs Switzerland,draw,0.3797704738961587,0.34218160881341253,0.27804791729042866,0.34218160881341253,1.072413662938459,home_win
2014,Algeria vs Russia,draw,0.26330035380413574,0.3426185798639842,0.39408106633188006,0.3426185798639842,1.0711374626187045,away_win
2018,Belgium vs Brazil,home_win,0.3444446307210049,0.3653274125608046,0.2902279567181905,0.3444446307210049,1.0658219250423475,draw
2022,South Korea vs Uruguay,draw,0.37480081337199916,0.35082790733383296,0.2743712792941679,0.35082790733383296,1.0474594682451406,home_win
