match_id,source_row,competition,round,group,date,time,match_datetime_utc,city,venue_country,home_team,away_team,home_is_placeholder,away_is_placeholder,home_advantage,away_advantage,neutral_venue,home_elo,away_elo,elo_diff_home_minus_away,home_elo_date,away_elo_date,home_elo_last_change,away_elo_last_change,home_recent10_matches,home_recent10_wins,home_recent10_draws,home_recent10_losses,home_recent10_win_rate,home_recent10_points_per_match,home_recent10_goals_for_avg,home_recent10_goals_against_avg,away_recent10_matches,away_recent10_wins,away_recent10_draws,away_recent10_losses,away_recent10_win_rate,away_recent10_points_per_match,away_recent10_goals_for_avg,away_recent10_goals_against_avg,h2h_matches,h2h_home_team_wins,h2h_away_team_wins,h2h_draws,h2h_home_team_win_rate,h2h_away_team_win_rate,h2h_draw_rate,h2h_home_goals_avg,h2h_away_goals_avg,h2h_last_match_date,home_win_prob,draw_prob,away_win_prob,home_fair_odds,draw_fair_odds,away_fair_odds,model_prediction,model_version,predicted_winner,draw_risk_level,draw_risk_flag
wc2026_r045,45,World Cup 2026,Matchday 11,Group H,2026-06-21,12:00 UTC-4,2026-06-21 16:00:00,Atlanta,United States,Spain,Saudi Arabia,False,False,0.0,0.0,1.0,2171.0,1612.0,559.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,4.0,0.0,0.6,2.2,2.7,0.5,10.0,4.0,1.0,5.0,0.4,1.3,1.2,1.3,3.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,2012-09-07,0.9313326448278757,0.05924419706672961,0.009423158105394675,1.0737302139611085,16.879290285150653,106.12153471430229,home_win,v4_elo_ensemble_calibrated_v1,Spain,low,False
wc2026_r046,46,World Cup 2026,Matchday 11,Group H,2026-06-21,18:00 UTC-4,2026-06-21 22:00:00,Miami (Miami Gardens),United States,Uruguay,Cape Verde,False,False,0.0,0.0,1.0,1890.0,1560.0,330.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,4.0,2.0,0.4,1.6,1.0,0.9,10.0,5.0,4.0,1.0,0.5,1.9,1.9,0.9,,,,,,,,,,,0.7850391110606585,0.17575894609995976,0.03920194283938185,1.2738218846815288,5.689610811794854,25.508939801713364,home_win,v4_elo_ensemble_calibrated_v1,Uruguay,low,False
wc2026_r047,47,World Cup 2026,Matchday 16,Group H,2026-06-26,19:00 UTC-5,2026-06-27 00:00:00,Houston,United States,Cape Verde,Saudi Arabia,False,False,0.0,0.0,1.0,1560.0,1612.0,-52.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,4.0,1.0,0.5,1.9,1.9,0.9,10.0,4.0,1.0,5.0,0.4,1.3,1.2,1.3,,,,,,,,,,,0.49630841349911087,0.3380405790680916,0.1656510074327975,2.014876179409744,2.958224727802782,6.036787916340848,home_win,v4_elo_ensemble_calibrated_v1,Cape Verde,high,True
wc2026_r048,48,World Cup 2026,Matchday 16,Group H,2026-06-26,18:00 UTC-6,2026-06-27 00:00:00,Guadalajara (Zapopan),Mexico,Uruguay,Spain,False,False,0.0,0.0,1.0,1890.0,2171.0,-281.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,4.0,2.0,0.4,1.6,1.0,0.9,10.0,6.0,4.0,0.0,0.6,2.2,2.7,0.5,10.0,0.0,5.0,5.0,0.0,0.5,0.5,0.8,1.6,2013-06-16,0.25464816380663474,0.34133769115625723,0.40401414503710814,3.926986886735782,2.929650096983345,2.475160863261734,away_win,v4_elo_ensemble_calibrated_v1,Spain,high,True
wc2026_r049,49,World Cup 2026,Matchday 6,Group I,2026-06-16,15:00 UTC-4,2026-06-16 19:00:00,New York/New Jersey (East Rutherford),United States,France,Senegal,False,False,0.0,0.0,1.0,2062.0,1803.0,259.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.4,0.8,10.0,8.0,1.0,1.0,0.8,2.5,2.0,0.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2002-05-31,0.7428854223690348,0.2095405402179343,0.04757403741303086,1.3461026019477353,4.772346195919615,21.01986828063689,home_win,v4_elo_ensemble_calibrated_v1,France,low,False
wc2026_r050,50,World Cup 2026,Matchday 6,Group I,2026-06-16,18:00 UTC-4,2026-06-16 22:00:00,Boston (Foxborough),United States,Iraq,Norway,False,False,0.0,0.0,1.0,1582.0,1922.0,-340.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,3.0,2.0,0.5,1.8,1.1,0.8,10.0,7.0,2.0,1.0,0.7,2.3,3.1,0.7,,,,,,,,,,,0.21098064252510637,0.28936350512995573,0.4996558523449379,4.739771327035378,3.4558608195974507,2.001377538773726,away_win,v4_elo_ensemble_calibrated_v1,Norway,medium,True
wc2026_r051,51,World Cup 2026,Matchday 12,Group I,2026-06-22,17:00 UTC-4,2026-06-22 21:00:00,Philadelphia,United States,France,Iraq,False,False,0.0,0.0,1.0,2062.0,1582.0,480.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.4,0.8,10.0,5.0,3.0,2.0,0.5,1.8,1.1,0.8,,,,,,,,,,,0.8931647777456957,0.09138326174074517,0.01545196051355914,1.1196142357112997,10.942923035916639,64.7167069267681,home_win,v4_elo_ensemble_calibrated_v1,France,low,False
wc2026_r052,52,World Cup 2026,Matchday 12,Group I,2026-06-22,20:00 UTC-4,2026-06-23 00:00:00,New York/New Jersey (East Rutherford),United States,Norway,Senegal,False,False,0.0,0.0,1.0,1922.0,1803.0,119.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,2.0,1.0,0.7,2.3,3.1,0.7,10.0,8.0,1.0,1.0,0.8,2.5,2.0,0.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2006-03-01,0.6492543513395853,0.26988389388581363,0.08086175477460103,1.540228414236628,3.7052970653487547,12.366785791224304,home_win,v4_elo_ensemble_calibrated_v1,Norway,medium,True
wc2026_r053,53,World Cup 2026,Matchday 16,Group I,2026-06-26,15:00 UTC-4,2026-06-26 19:00:00,Boston (Foxborough),United States,Norway,France,False,False,0.0,0.0,1.0,1922.0,2062.0,-140.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,2.0,1.0,0.7,2.3,3.1,0.7,10.0,8.0,1.0,1.0,0.8,2.5,2.4,0.8,16.0,5.0,7.0,4.0,0.3125,0.4375,0.25,1.375,1.375,2014-05-27,0.4192941002735145,0.36078598500777237,0.21991991471871308,2.3849608171154295,2.771726290804941,4.547109802579919,home_win,v4_elo_ensemble_calibrated_v1,Norway,high,True
wc2026_r054,54,World Cup 2026,Matchday 16,Group I,2026-06-26,15:00 UTC-4,2026-06-26 19:00:00,Toronto,Canada,Senegal,Iraq,False,False,0.0,0.0,1.0,1803.0,1582.0,221.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.0,0.6,10.0,5.0,3.0,2.0,0.5,1.8,1.1,0.8,,,,,,,,,,,0.7306204074774889,0.2188290564379716,0.050550536084539494,1.3686997923484787,4.569777050075871,19.782183878873692,home_win,v4_elo_ensemble_calibrated_v1,Senegal,low,False
wc2026_r055,55,World Cup 2026,Matchday 6,Group J,2026-06-16,20:00 UTC-5,2026-06-17 01:00:00,Kansas City,United States,Argentina,Algeria,False,False,0.0,0.0,1.0,2113.0,1726.0,387.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.3,0.3,10.0,7.0,2.0,1.0,0.7,2.3,1.9,0.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,2007-06-05,0.8337817319160461,0.14126631700192316,0.024951951082030747,1.1993546532879549,7.078828281382789,40.0770263099848,home_win,v4_elo_ensemble_calibrated_v1,Argentina,low,False
wc2026_r056,56,World Cup 2026,Matchday 6,Group J,2026-06-16,21:00 UTC-7,2026-06-17 04:00:00,San Francisco Bay Area (Santa Clara),United States,Austria,Jordan,False,False,0.0,0.0,1.0,1818.0,1687.0,131.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.7,0.4,10.0,4.0,4.0,2.0,0.4,1.6,1.9,1.6,,,,,,,,,,,0.700398366841459,0.23000862581760373,0.06959300734093736,1.4277588974252398,4.347663034137674,14.369259760552989,home_win,v4_elo_ensemble_calibrated_v1,Austria,low,False
wc2026_r057,57,World Cup 2026,Matchday 12,Group J,2026-06-22,12:00 UTC-5,2026-06-22 17:00:00,Dallas (Arlington),United States,Argentina,Austria,False,False,0.0,0.0,1.0,2113.0,1818.0,295.0,2025-12-13,2025-12-13,0.0,0.0,10.0,8.0,1.0,1.0,0.8,2.5,2.3,0.3,10.0,8.0,1.0,1.0,0.8,2.5,2.7,0.4,2.0,1.0,0.0,1.0,0.5,0.0,0.5,3.0,1.0,1990-05-03,0.7622213225118384,0.19611971991117594,0.04165895757698559,1.3119549013724534,5.098926311198626,24.004441257369535,home_win,v4_elo_ensemble_calibrated_v1,Argentina,low,False
wc2026_r058,58,World Cup 2026,Matchday 12,Group J,2026-06-22,20:00 UTC-7,2026-06-23 03:00:00,San Francisco Bay Area (Santa Clara),United States,Jordan,Algeria,False,False,0.0,0.0,1.0,1687.0,1726.0,-39.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,4.0,2.0,0.4,1.6,1.9,1.6,10.0,7.0,2.0,1.0,0.7,2.3,1.9,0.4,2.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,3.5,2004-05-30,0.4534567875517768,0.34996389061181515,0.19657932183640803,2.205281798512758,2.8574376580731697,5.087005035210129,home_win,v4_elo_ensemble_calibrated_v1,Jordan,high,True
wc2026_r059,59,World Cup 2026,Matchday 17,Group J,2026-06-27,21:00 UTC-5,2026-06-28 02:00:00,Kansas City,United States,Algeria,Austria,False,False,0.0,0.0,1.0,1726.0,1818.0,-92.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,2.0,1.0,0.7,2.3,1.9,0.4,10.0,8.0,1.0,1.0,0.8,2.5,2.7,0.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1982-06-21,0.42286532274733146,0.373162864578703,0.2039718126739654,2.3648191190118357,2.6797950571233544,4.902638197359307,home_win,v4_elo_ensemble_calibrated_v1,Algeria,high,True
wc2026_r060,60,World Cup 2026,Matchday 17,Group J,2026-06-27,21:00 UTC-5,2026-06-28 02:00:00,Dallas (Arlington),United States,Jordan,Argentina,False,False,0.0,0.0,1.0,1687.0,2113.0,-426.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,4.0,2.0,0.4,1.6,1.9,1.6,10.0,8.0,1.0,1.0,0.8,2.5,2.3,0.3,,,,,,,,,,,0.15326959369721255,0.23923433671019761,0.6074960695925897,6.524451300990084,4.180001975265677,1.6461011849354656,away_win,v4_elo_ensemble_calibrated_v1,Argentina,low,False
wc2026_r061,61,World Cup 2026,Matchday 7,Group K,2026-06-17,12:00 UTC-5,2026-06-17 17:00:00,Houston,United States,Portugal,Democratic Republic of Congo,False,False,0.0,0.0,1.0,1976.0,1616.0,360.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,3.0,1.0,0.6,2.1,2.6,1.0,10.0,6.0,3.0,1.0,0.6,2.1,1.2,0.3,,,,,,,,,,,0.8199537184742397,0.1498184074391359,0.030227874086624345,1.219581029354667,6.674747229616978,33.082048612955354,home_win,v4_elo_ensemble_calibrated_v1,Portugal,low,False
wc2026_r062,62,World Cup 2026,Matchday 7,Group K,2026-06-17,20:00 UTC-6,2026-06-18 02:00:00,Mexico City,Mexico,Uzbekistan,Colombia,False,False,0.0,0.0,1.0,1735.0,1998.0,-263.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,3.0,2.0,0.5,1.8,1.5,0.7,10.0,6.0,2.0,2.0,0.6,2.0,2.4,1.1,,,,,,,,,,,0.2971802537349237,0.34599844131094587,0.3568213049541305,3.36496112185156,2.8901864303524665,2.8025232409498373,away_win,v4_elo_ensemble_calibrated_v1,Colombia,high,True
wc2026_r063,63,World Cup 2026,Matchday 13,Group K,2026-06-23,12:00 UTC-5,2026-06-23 17:00:00,Houston,United States,Portugal,Uzbekistan,False,False,0.0,0.0,1.0,1976.0,1735.0,241.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,3.0,1.0,0.6,2.1,2.6,1.0,10.0,5.0,3.0,2.0,0.5,1.8,1.5,0.7,,,,,,,,,,,0.7426360034738427,0.2063631334281976,0.05100086309795977,1.3465546988326458,4.845826787893498,19.607511309744947,home_win,v4_elo_ensemble_calibrated_v1,Portugal,low,False
