match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes,timestamp,best_bid,best_ask,mid_price,spread,bid_depth,ask_depth,last_trade_price,price_fetch_status,model_prob,market_prob,edge,signal
wc2026_r056,Austria,Jordan,1897093,Will Jordan win on 2026-06-17?,match_1x2,10127485596146788190022715162162490005929142831190335412854285290235849822876,away_win,fifwc-aut-jor-2026-06-17-jor,98821.5896,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.09,0.1,0.095,0.010000000000000009,108090.63,160521.77999999997,0.9,ok,0.1575220888105224,0.1,0.0575220888105224,Watch
wc2026_r037,Belgium,Egypt,1897073,Will Belgium win on 2026-06-15?,match_1x2,5699266164849713169703648234886411053444418385408086203990916861286572010447,home_win,fifwc-bel-egy-2026-06-15-bel,91052.5112,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.58,0.59,0.585,0.010000000000000009,81170.32,137654.35,0.41,ok,0.6545207283451717,0.59,0.06452072834517175,Watch
wc2026_r037,Belgium,Egypt,1897074,Will Belgium vs. Egypt end in a draw?,match_1x2,11945055302217621784910045410746746975726300882345977028546086393834748493487,draw,fifwc-bel-egy-2026-06-15-draw,81613.2148,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.24,0.25,0.245,0.010000000000000009,84211.79,75155.4,0.75,ok,0.2197633993476284,0.25,-0.030236600652371604,No Bet
wc2026_r037,Belgium,Egypt,1897075,Will Egypt win on 2026-06-15?,match_1x2,71175597030142754954710752283935666239163672397586595724135510152247112429550,away_win,fifwc-bel-egy-2026-06-15-egy,79981.7677,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.17,0.18,0.175,0.009999999999999981,79402.01999999999,90442.19,0.17,ok,0.1257158723071997,0.18,-0.054284127692800305,Overpriced
wc2026_r013,Brazil,Morocco,1897049,Will Brazil win on 2026-06-13?,match_1x2,105492577477219588134242978490999229511934661984574714868659540712157271273221,home_win,fifwc-bra-mar-2026-06-13-bra,270065.9419,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.58,0.59,0.585,0.010000000000000009,143315.66,1614405.88,0.41,ok,0.5335724966665122,0.59,-0.05642750333348778,Overpriced
wc2026_r013,Brazil,Morocco,1897050,Will Brazil vs. Morocco end in a draw?,match_1x2,28514355574680631350512719849093140985552525989838015190207068633860196282876,draw,fifwc-bra-mar-2026-06-13-draw,169762.174,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.25,0.26,0.255,0.010000000000000009,201158.78,178812.33000000002,0.74,ok,0.2895374847134611,0.26,0.02953748471346107,No Bet
wc2026_r013,Brazil,Morocco,1897051,Will Morocco win on 2026-06-13?,match_1x2,75153795433255397954364392370254909445351765396945509274877503457182682318715,away_win,fifwc-bra-mar-2026-06-13-mar,184135.2544,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.17,0.18,0.175,0.009999999999999981,248262.92,1399552.5799999994,0.17,ok,0.1768900186200266,0.18,-0.0031099813799733977,No Bet
wc2026_r007,Canada,Bosnia and Herzegovina,1897040,Will Canada win on 2026-06-12?,match_1x2,94742454704773778167568688948405770414791647129006368131301932311609594298387,home_win,fifwc-can-bih-2026-06-12-can,541931.3791,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.52,0.53,0.525,0.010000000000000009,545374.5700000001,889552.9299999999,0.53,ok,0.6013058769861187,0.53,0.07130587698611868,Watch
wc2026_r007,Canada,Bosnia and Herzegovina,1897041,Will Canada vs. Bosnia and Herzegovina end in a draw?,match_1x2,22172667310022772208699373598096867628027942277851933544696144873879741224440,draw,fifwc-can-bih-2026-06-12-draw,628589.8555,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.26,0.27,0.265,0.010000000000000009,961057.0900000001,768284.8099999999,0.73,ok,0.2628149548623769,0.27,-0.007185045137623136,No Bet
wc2026_r007,Canada,Bosnia and Herzegovina,1897042,Will Bosnia and Herzegovina win on 2026-06-12?,match_1x2,74187637053502514449598313026757559914734686113697608141302796666649587118979,away_win,fifwc-can-bih-2026-06-12-bih,440428.974,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.2,0.21,0.20500000000000002,0.009999999999999981,623377.9199999999,570402.4500000001,0.79,ok,0.1358791681515042,0.21,-0.0741208318484958,Overpriced
