match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes
wc2026_r007,Canada,Bosnia and Herzegovina,1897040,Will Canada win on 2026-06-12?,match_1x2,94742454704773778167568688948405770414791647129006368131301932311609594298387,home_win,fifwc-can-bih-2026-06-12-can,541931.3791,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r007,Canada,Bosnia and Herzegovina,1897041,Will Canada vs. Bosnia and Herzegovina end in a draw?,match_1x2,22172667310022772208699373598096867628027942277851933544696144873879741224440,draw,fifwc-can-bih-2026-06-12-draw,628589.8555,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r007,Canada,Bosnia and Herzegovina,1897042,Will Bosnia and Herzegovina win on 2026-06-12?,match_1x2,74187637053502514449598313026757559914734686113697608141302796666649587118979,away_win,fifwc-can-bih-2026-06-12-bih,440428.974,2026-06-12,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r026,Ivory Coast,Ecuador,1897064,Will Côte d'Ivoire win on 2026-06-14?,match_1x2,97954339861337592198517897825570585108397895633529524888621528267394350049120,home_win,fifwc-civ-ecu-2026-06-14-civ,144485.6496,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r026,Ivory Coast,Ecuador,1897065,Will Côte d'Ivoire vs. Ecuador end in a draw?,match_1x2,51076507708274140524034686501213174543010993864036676754773732528820025061669,draw,fifwc-civ-ecu-2026-06-14-draw,131665.9753,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r026,Ivory Coast,Ecuador,1897066,Will Ecuador win on 2026-06-14?,match_1x2,28508563298912772074214719307109307518904085025750423135797235005006783326548,away_win,fifwc-civ-ecu-2026-06-14-ecu,164084.6897,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r043,Spain,Cape Verde,1897070,Will Spain win on 2026-06-15?,match_1x2,3612393435281522540359979834655761894598376313180591710384535406994913064931,home_win,fifwc-esp-cvi-2026-06-15-esp,89414.8642,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r043,Spain,Cape Verde,1897071,Will Spain vs. Cabo Verde end in a draw?,match_1x2,83072215710101175871081563765894926731657038656927257285040774204247563097609,draw,fifwc-esp-cvi-2026-06-15-draw,75452.83387,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r043,Spain,Cape Verde,1897072,Will Cabo Verde win on 2026-06-15?,match_1x2,85135836978485179530031184162395126176783303519695757365796392230161124240788,away_win,fifwc-esp-cvi-2026-06-15-cvi,98943.6382,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r049,France,Senegal,1897082,Will France win on 2026-06-16?,match_1x2,10541943766977992250149902475024620982770128161688998706490955791758263657916,home_win,fifwc-fra-sen-2026-06-16-fra,105631.8773,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r049,France,Senegal,1897083,Will France vs. Senegal end in a draw?,match_1x2,1558773458881829509791065143596154799682035256543521797575065685839455307034,draw,fifwc-fra-sen-2026-06-16-draw,81015.0516,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r049,France,Senegal,1897084,Will Senegal win on 2026-06-16?,match_1x2,68110647781535190797837703927589470479832774174814667833732459898847586979826,away_win,fifwc-fra-sen-2026-06-16-sen,116000.9263,2026-06-16,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r025,Germany,Curaçao,1897058,Will Germany win on 2026-06-14?,match_1x2,80258038883060787104700033663206548991173635281684057844048254140005841868705,home_win,fifwc-ger-kor-2026-06-14-ger,69635.51312,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r025,Germany,Curaçao,1897059,Will Germany vs. Curaçao end in a draw?,match_1x2,43065699114218738643061430368238869232700747238329067809024727726995177258597,draw,fifwc-ger-kor-2026-06-14-draw,73560.41989,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r025,Germany,Curaçao,1897060,Will Curaçao win on 2026-06-14?,match_1x2,84520506461080918199836241264297202134105253634264892405638380867421157597093,away_win,fifwc-ger-kor-2026-06-14-kor,137253.0287,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r014,Haiti,Scotland,1897052,Will Haiti win on 2026-06-13?,match_1x2,56618826743104010959172273659413209775316700999254592964223431451553591299446,home_win,fifwc-hai-sco-2026-06-13-hai,208755.3726,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r014,Haiti,Scotland,1897053,Will Haiti vs. Scotland end in a draw?,match_1x2,24186604708120375516053204147615433593913499983599603531568767418358336827296,draw,fifwc-hai-sco-2026-06-13-draw,158688.7565,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
