match_id,date,group,round,home_team,away_team,home_code,away_code,polymarket_slug,gamma_api_url,event_url,sports_url,status
wc2026_r028,2026-06-20,Group E,Matchday 10,Ecuador,Curaçao,ecu,kor,fifwc-ecu-kor-2026-06-20,https://gamma-api.polymarket.com/events/slug/fifwc-ecu-kor-2026-06-20,https://polymarket.com/event/fifwc-ecu-kor-2026-06-20#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-ecu-kor-2026-06-20,candidate_needs_gamma_validation
wc2026_r029,2026-06-25,Group E,Matchday 15,Curaçao,Ivory Coast,kor,civ,fifwc-kor-civ-2026-06-25,https://gamma-api.polymarket.com/events/slug/fifwc-kor-civ-2026-06-25,https://polymarket.com/event/fifwc-kor-civ-2026-06-25#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-kor-civ-2026-06-25,candidate_needs_gamma_validation
wc2026_r030,2026-06-25,Group E,Matchday 15,Ecuador,Germany,ecu,ger,fifwc-ecu-ger-2026-06-25,https://gamma-api.polymarket.com/events/slug/fifwc-ecu-ger-2026-06-25,https://polymarket.com/event/fifwc-ecu-ger-2026-06-25#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-ecu-ger-2026-06-25,candidate_needs_gamma_validation
wc2026_r031,2026-06-14,Group F,Matchday 4,Netherlands,Japan,nld,jpn,fifwc-nld-jpn-2026-06-14,https://gamma-api.polymarket.com/events/slug/fifwc-nld-jpn-2026-06-14,https://polymarket.com/event/fifwc-nld-jpn-2026-06-14#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-nld-jpn-2026-06-14,web_verified_example
wc2026_r032,2026-06-14,Group F,Matchday 4,Sweden,Tunisia,swe,tun,fifwc-swe-tun-2026-06-14,https://gamma-api.polymarket.com/events/slug/fifwc-swe-tun-2026-06-14,https://polymarket.com/event/fifwc-swe-tun-2026-06-14#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-swe-tun-2026-06-14,candidate_needs_gamma_validation
wc2026_r033,2026-06-20,Group F,Matchday 10,Netherlands,Sweden,nld,swe,fifwc-nld-swe-2026-06-20,https://gamma-api.polymarket.com/events/slug/fifwc-nld-swe-2026-06-20,https://polymarket.com/event/fifwc-nld-swe-2026-06-20#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-nld-swe-2026-06-20,candidate_needs_gamma_validation
wc2026_r034,2026-06-20,Group F,Matchday 10,Tunisia,Japan,tun,jpn,fifwc-tun-jpn-2026-06-20,https://gamma-api.polymarket.com/events/slug/fifwc-tun-jpn-2026-06-20,https://polymarket.com/event/fifwc-tun-jpn-2026-06-20#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-tun-jpn-2026-06-20,candidate_needs_gamma_validation
wc2026_r035,2026-06-25,Group F,Matchday 15,Japan,Sweden,jpn,swe,fifwc-jpn-swe-2026-06-25,https://gamma-api.polymarket.com/events/slug/fifwc-jpn-swe-2026-06-25,https://polymarket.com/event/fifwc-jpn-swe-2026-06-25#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-jpn-swe-2026-06-25,candidate_needs_gamma_validation
wc2026_r036,2026-06-25,Group F,Matchday 15,Tunisia,Netherlands,tun,nld,fifwc-tun-nld-2026-06-25,https://gamma-api.polymarket.com/events/slug/fifwc-tun-nld-2026-06-25,https://polymarket.com/event/fifwc-tun-nld-2026-06-25#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-tun-nld-2026-06-25,candidate_needs_gamma_validation
wc2026_r037,2026-06-15,Group G,Matchday 5,Belgium,Egypt,bel,egy,fifwc-bel-egy-2026-06-15,https://gamma-api.polymarket.com/events/slug/fifwc-bel-egy-2026-06-15,https://polymarket.com/event/fifwc-bel-egy-2026-06-15#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-bel-egy-2026-06-15,candidate_needs_gamma_validation
wc2026_r038,2026-06-15,Group G,Matchday 5,Iran,New Zealand,irn,nzl,fifwc-irn-nzl-2026-06-15,https://gamma-api.polymarket.com/events/slug/fifwc-irn-nzl-2026-06-15,https://polymarket.com/event/fifwc-irn-nzl-2026-06-15#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-irn-nzl-2026-06-15,web_verified_example
